Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
Little Women,https://www.rottentomatoes.com/m/little_women_2019,2019,PG,10000,95,92,Drama,Greta Gerwig,135
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,2022,PG,5000,95,94,Kids & Family,Joel Crawford,102
Casino Royale,https://www.rottentomatoes.com/m/casino_royale,2006,PG-13,250000,94,90,Action,Martin Campbell,144
The Handmaiden,https://www.rottentomatoes.com/m/the_handmaiden,2016,Not Rated,10000,96,91,Mystery & Thriller,Park Chan-wook,144
La Haine,https://www.rottentomatoes.com/m/la_haine,1995,Not Rated,25000,96,95,Drama,Mathieu Kassovitz,98
La Strada,https://www.rottentomatoes.com/m/la_strada,1956,Not Rated,10000,98,93,Drama,Federico Fellini,115
Rashomon,https://www.rottentomatoes.com/m/rashomon,1950,Not Rated,25000,98,93,Drama,Akira Kurosawa,88
Top Hat,https://www.rottentomatoes.com/m/top_hat,1935,Not Rated,5000,100,90,Musical,Mark Sandrich,99
The Artist,https://www.rottentomatoes.com/m/the_artist,2011,PG-13,50000,95,87,Romance,Michel Hazanavicius,100
The Conformist,https://www.rottentomatoes.com/m/the_conformist,1970,R,5000,98,90,Drama,Bernardo Bertolucci,111
One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,1975,R,250000,93,96,Drama,Milos Forman,133
In the Heat of the Night,https://www.rottentomatoes.com/m/in_the_heat_of_the_night,1967,Not Rated,10000,95,92,Crime,Norman Jewison,109
Raiders of the Lost Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark,1981,PG,250000,93,96,Adventure,Steven Spielberg,115
The Peanut Butter Falcon,https://www.rottentomatoes.com/m/the_peanut_butter_falcon,2019,PG-13,2500,95,96,Comedy,Tyler Nilson,96
Paths of Glory,https://www.rottentomatoes.com/m/paths_of_glory,1957,Not Rated,25000,96,95,War,Stanley Kubrick,86
King Kong,https://www.rottentomatoes.com/m/1011615-king_kong,1933,Not Rated,50000,97,86,Adventure,Merian C. Cooper,100
Children of Paradise,https://www.rottentomatoes.com/m/children_of_paradise,1945,Not Rated,5000,98,95,Romance,Marcel Carné,195
