Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_104,1959,Approved,356000,8.3,Alfred Hitchcock,136,Spy
Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_105,1941,PG,476000,8.3,Orson Welles,119,Epic
Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_106,1995,R,741000,8.3,Michael Mann,170,Cop Drama
M,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_107,1931,Approved,174000,8.3,Fritz Lang,99,Psychological Thriller
Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108,1958,PG,439000,8.3,Alfred Hitchcock,128,Psychological Thriller
Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109,1987,R,811000,8.2,Stanley Kubrick,116,Period Drama
Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_110,2009,PG,1200000,8.3,Pete Docter,96,Coming-of-Age
Amélie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111,2001,R,810000,8.3,Jean-Pierre Jeunet,122,Feel-Good Romance
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_112,2023,R,832000,8.3,Christopher Nolan,180,Docudrama
A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113,1971,R,901000,8.2,Stanley Kubrick,136,Dark Comedy
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114,1962,Approved,340000,8.3,Robert Mulligan,129,Legal Drama
A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115,2011,PG-13,266000,8.3,Asghar Farhadi,123,Legal Drama
Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_116,1988,R,976000,8.2,John McTiernan,132,Disaster
The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_117,1973,PG,286000,8.3,George Roy Hill,129,Caper
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_118,1989,PG-13,828000,8.2,Steven Spielberg,127,Adventure Epic
Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119,2007,PG,214000,8.3,Aamir Khan,162,Drama
Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120,1927,Not Rated,192000,8.3,Fritz Lang,153,Dystopian Sci-Fi
